user_id,email,birthday,user_created_at,opening_balance,movement_id,movement_type,movement_value,movement_created_at,movement_updated_at
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,8,reversal,23344.753,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,10,reversal,40621.088,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,13,credit,53816.312,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,21,debit,96691.361,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,26,debit,50372.556,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,28,credit,36583.362,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,30,credit,4392.306,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,31,reversal,22675.388,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,35,debit,4231.896,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,37,reversal,51119.138,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,40,reversal,62843.883,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,41,credit,33600.061,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,45,credit,69252.454,"2021-03-01 05:29:05","2021-03-01 05:29:05"
1,milo58@example.org,1983-04-26,"2021-03-01 05:29:04",91869.707,47,debit,12503.72,"2021-03-01 05:29:05","2021-03-01 05:29:05"
